ranking,name,score,review_count,quote,detail_url,introduce
49,钢琴家,9.3,550350人评价,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/,"导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...
2002 / 英国 法国 波兰 德国 / 剧情 传记 战争 音乐"
50,让子弹飞,8.9,1524137人评价,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/,"导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部"
51,罗马假日,9.1,878914人评价,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/,"导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...
1953 / 美国 / 喜剧 剧情 爱情"
52,海蒂和爷爷,9.3,494622人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/,"导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...
2015 / 德国 瑞士 / 剧情 冒险 家庭"
53,指环王1：护戒使者,9.1,771177人评价,传说的开始。,https://movie.douban.com/subject/1291571/,"导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险"
54,黑客帝国,9.1,767894人评价,视觉革命。,https://movie.douban.com/subject/1291843/,"导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...
1999 / 美国 / 动作 科幻"
55,大闹天宫,9.4,387389人评价,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/,"导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...
1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装"
56,教父2,9.2,494105人评价,优雅的孤独。,https://movie.douban.com/subject/1299131/,"导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
1974 / 美国 / 剧情 犯罪"
57,死亡诗社,9.1,643123人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/,"导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
1989 / 美国 / 剧情"
58,辩护人,9.2,543667人评价,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/,"导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...
2013 / 韩国 / 剧情"
59,狮子王,9.1,760212人评价,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/,"导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...
1994 / 美国 / 动画 冒险 歌舞"
60,绿皮书,8.9,1468736人评价,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/,"导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...
2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐"
61,搏击俱乐部,9.0,776063人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/,"导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...
1999 / 美国 德国 意大利 / 剧情 动作 悬疑 惊悚"
